61015CW	702.1558934	897.9211017	66.905	281.3587	172.149	188.1789
61015CZ	795.5308767	899.8190434	66.841	179.7434	139.9926	220.6513
61015DA	812.5819212	902.9086238	66.8667	67.465	84.7615	276.0593
61015DB	790.6585026	871.2009911	66.9151	228.5082	154.171	206.2192
61015DD	840.1814704	1017.043875	66.5416	258.5189	282.1147	76.639
61015DF	929.0482333	1102.015475	66.7792	234.8113	203.0646	231.6804
61015DG	845.784938	925.0360097	66.9808	208.2615	223.034	136.6474
61015DK	667.3248196	736.3617877	66.7142	189.003	70.682	289.9555
61015DL	868.7873392	976.9232271	66.9249	316.311	124.1748	236.6382
61015DM	801.3363337	867.1668815	66.8413	267.7604	246.3524	113.2775
61015DN	949.6480917	1058.373298	67.0327	18.9248	135.7074	283.1449
61015DP	902.070383	1063.60842	67.0075	190.4925	268.676	90.174
62029A	948.9019339	5639.323311	44.8127	173.5416	264.4234	87.1255
62029B	946.6047249	5622.460881	44.7888	82.9862	7.4439	102.3716
61015DQ	724.4288133	919.0186261	66.9146	19.3936	272.6077	85.9555
61015DR	695.6163527	735.3711291	66.7511	78.2612	116.1324	244.2674
61015DT	579.438548	615.9563241	66.5025	306.2776	240.6403	119.2109
61015DU	948.162804	1207.351768	67.066	39.8898	254.7705	173.5428
61015DV	950.6500718	1326.139079	67.2224	82.9803	179.745	309.4639
61015DX	870.3385395	890.0343542	66.8099	226.3117	223.9883	136.0124
62039A	549.9736179	681.055862	98.548	273.3019	125.4751	235.5252
62047A	598.2906589	607.5850796	58.3051	283.5415	10.8242	349.2945
62047C	353.5353876	367.343798	58.3981	62.2755	72.9317	319.5325
61015EB	728.9868656	787.1744674	66.6623	82.5962	357.5521	2.5376
61015EC	948.7083092	971.0859603	66.8418	313.0266	118.1668	45.0342
61015ED	864.8093203	1733.995697	66.4706	293.3253	343.8346	14.5243
61015EE	954.7458522	1072.375146	66.8939	356.2907	89.1463	340.7153
61015EF	917.7293228	1102.935608	66.7795	239.8511	250.2797	228.9288
61015EG	686.5972128	789.6988117	66.3247	211.2693	136.7841	326.806
61015EH	929.0154234	1032.88702	66.7844	89.4619	359.1698	118.0236
61015EJ	765.4010176	864.3751576	66.7143	241.897	193.3575	166.5701
61015EK	963.2062035	989.6247348	66.6934	54.1317	221.6294	217.9561
61015EP	939.2831431	1006.811333	66.4444	206.1561	172.3398	298.5453
61015ER	797.1280545	903.7314911	66.5224	82.8223	20.0821	340.314
61015ES	787.2342339	880.9263691	66.7489	11.6405	112.2679	248.5318
61015EV	726.2651202	864.2513502	66.8151	209.698	302.2376	56.9427
62049A	982.5438318	1017.861813	80.4706	358.509	93.3951	330.8517
62049B	988.6736112	1016.433349	80.4739	5.4292	77.2479	353.5975
62060A	1075.095012	1180.501942	50.1419	94.3883	64.9971	53.5054
62060B	1064.463238	1162.97334	50.1314	332.9369	161.6501	283.1766
61015EX	659.7070771	733.4197833	67.5073	290.5847	330.4466	29.371
61015EZ	708.5124232	787.7077349	66.7718	208.5606	15.9806	344.3036
61015FB	766.5120055	804.8261733	66.317	42.5947	98.2846	262.1284
61015FD	880.0094065	1272.116984	66.5558	209.24	354.4526	5.3628
61015FF	743.5767388	847.6269642	66.8342	85.5177	300.8878	58.5102
61015FG	820.618936	928.9801126	66.2297	84.589	331.6334	28.0689
61015FL	623.5764326	650.5929267	66.2474	15.3577	33.1008	34.4228
61015FM	752.6171258	961.6429263	66.2263	290.2398	138.4273	222.7904
61015FQ	667.2291769	737.0279162	66.0713	93.5909	23.2614	337.0707
61015FR	589.0578621	606.5084813	66.6782	225.6268	354.2207	5.8775
61015FS	712.4685745	849.6533644	66.2372	248.6264	248.6017	110.4836
62068A	1324.342007	7435.267939	47.5115	324.0108	161.7506	3.8822
62070A	743.2489528	1149.377733	52.0048	327.2513	311.5832	46.1624
62049C	986.8685675	1009.269689	80.5124	56.4327	332.9484	179.6471
62049D	980.1916654	1026.751034	80.4277	301.7671	171.8674	311.1428
62068B	1320.626423	7418.955162	47.5077	267.843	212.0144	127.1924
61015FT	858.6348074	988.3325221	65.9952	201.7543	319.8467	39.6064
61015FU	839.3846344	957.6454676	66.8799	202.088	193.037	166.8614
61015FW	894.5649345	1154.976644	67.2254	188.6267	17.7724	93.9814
61015FX	726.4269581	756.0572437	67.8112	181.2095	73.3277	287.012
61015GA	893.5657045	998.1090891	67.2213	12.4646	81.1377	279.7774
61015GC	952.6683815	1057.106709	67.0313	126.9941	204.0079	263.0333
61015GD	918.5914919	1189.256213	66.8734	292.2353	126.8831	338.6887
61015GE	886.2329237	1118.732896	67.2331	56.9733	166.3154	194.2263
61015GH	589.9425155	766.397571	66.6755	52.8923	258.0388	100.6688
61015GJ	964.5229567	1283.47341	66.6942	153.1396	26.5409	81.4892
61015GM	853.9510474	989.2933425	67.7461	329.1797	144.6488	216.0794
61015GQ	947.1418014	1688.133188	65.6969	112.2659	225.1336	257.8766
61015GR	694.6974626	794.9641272	66.609	203.2094	199.9405	159.8947
61015GS	825.0833626	1317.861494	67.1591	226.3704	322.7511	35.1011
61015GT	1012.586655	1999.020791	67.7567	34.7354	190.1381	235.9602
63013A	968.0763054	10805.86205	42.7529	286.299	80.0256	241.3906
63014A	3607.751165	3676.46908	87.3245	123.5755	287.9263	71.7854
63013B	969.310707	10779.67649	42.7468	237.5228	132.9701	343.7387
63014D	3565.481467	3714.41631	87.3261	119.3622	222.3952	137.1143
63014E	3582.923232	3671.256168	87.3263	118.0759	256.9583	102.6343
63014C	3592.180336	3691.895746	87.3225	121.3332	228.6067	131.0504
63025B	301.8172873	1142.39004	81.9843	188.9429	303.2425	51.3356
63030A	3660.517209	3737.871769	88.4363	19.8974	198.9111	161.0314
63014F	3628.06543	3685.77626	87.3211	130.7243	294.1409	65.6438
63014G	3566.696448	3713.445156	87.3231	119.9953	231.4336	127.994
63030C	3670.550019	3697.973708	88.4382	12.1928	192.2926	167.7594
63030E	3496.483191	3933.670879	88.4291	25.5797	207.5691	151.3529
63031A	35763.19254	35797.43353	35.2061	342.1858	137.0795	101.2499
63030B	3640.61258	3757.838932	88.4387	23.5052	182.4794	177.5774
61015GU	883.530012	1410.095333	66.3711	5.1173	274.1131	82.0001
61015GV	941.9108287	1144.690447	67.0975	346.8775	112.0728	314.4096
61015GW	933.280159	1562.232723	66.5896	153.1683	36.8846	76.3274
61015GZ	889.7239387	1202.964445	65.8781	57.9571	252.2681	183.285
61015HA	969.5636493	1837.177109	66.2651	114.4428	41.7266	24.342
61015HD	796.9685127	928.2801311	66.6954	200.0214	311.6403	47.6943
61015HE	898.9720334	1132.112603	67.4551	216.6534	213.0111	262.971
61015HG	950.9294376	1512.230312	67.2589	41.3332	222.905	299.5128
61015HH	868.950004	1912.592768	66.2904	210.5997	148.3533	215.9755
61015HJ	971.6940688	1464.391639	66.212	103.4043	118.0278	28.4274
61015HK	847.1735003	1390.643904	65.8669	301.5481	190.3611	168.9821
61015HL	939.5479167	1859.280004	67.1619	202.8329	0.033	101.3592
61015HM	658.7381488	728.0178533	66.5254	11.0445	234.4783	196.4793
63038A	1063.704599	1105.00126	90.0821	325.4037	127.5775	297.5198
63038B	1058.907476	1122.174983	90.072	327.1746	25.7364	90.0252
63038C	1058.633748	1118.656616	90.0728	327.016	350.2933	122.5676
63038D	983.0128068	1042.560374	90.0816	325.6003	40.2275	12.7175
63047A	463.1830285	1316.520394	30.3591	108.1262	231.7329	122.9032
63047D	600.8738698	1412.469992	29.9262	275.9558	252.9901	100.9774
63047F	575.756566	1661.284203	30.481	205.2978	346.0101	12.1366
63047G	590.0893098	1368.201614	30.0092	243.449	121.8679	243.4477
63014H	3461.419531	3816.808709	87.3204	118.6718	243.5291	114.727
63049A	1058.441544	1081.840624	89.906	97.7746	347.2785	73.7522
